IDN4,obec,populace,centroid-lat,centroid-lon
503983,Reca - Réte,1656,48.2263318,17.4589493
503991,Selice - Szelőce,2872,48.0906714,17.9550434
504009,Sereď,15737,48.2875374,17.7131687
504017,Sládkovičovo - Diószeg,5415,48.2029677,17.6302251
504025,Šaľa,21183,48.1396429,17.8907548
504033,Šalgočka,465,48.3436918,17.8218169
504041,Šintava,1754,48.284308,17.7767086
504050,Šoporňa,4081,48.2264511,17.837219
504068,Tešedíkovo - Pered,3719,48.0884833,17.8432898
504076,Tomášikovo - Tallós,1736,48.0682265,17.7217981
504084,Topoľnica - Tósnyárasd,799,48.1703248,17.7860438
504092,Trnovec nad Váhom,2784,48.1493278,17.9488136
504106,Trstice - Nádszeg,3864,48.0202986,17.8209122
504114,Váhovce - Vága,2097,48.2372609,17.7839975
504122,Veľká Mača - Nagymácséd,2614,48.2436891,17.6888855
504131,Veľké Úľany - Nagyfödémes,4665,48.1547179,17.5767775
504149,Veľký Grob,1425,48.2464871,17.5176514
504157,Vinohrady nad Váhom,1657,48.3165317,17.7686999
504165,Vlčany - Vágfarkasd,3220,48.026282,17.9223576
504173,Vozokany (GA) - Pozsonyvezekény,1121,48.0972856,17.7029463
504181,Zemianske Sady,870,48.3278202,17.8263362
504190,Žihárec - Zsigárd,1794,48.0637745,17.890748
504203,Senica,19875,48.6778923,17.3644504
504211,Bílkove Humence,194,48.5892624,17.2417705
504220,Borský Svätý Jur,1631,48.5963837,17.06416
504238,Borský Mikuláš,3953,48.6240248,17.2326471
504254,Brestovec (MY),979,48.7991748,17.5531355
504262,Brezová pod Bradlom,4848,48.667809,17.5442098
504271,Brodské,2303,48.6947732,17.0227133
504289,Bukovec (MY),431,48.7006104,17.4939172
504297,Cerová,1105,48.5806276,17.3922982
504319,Čáry,1269,48.6646873,17.077711
504327,Častkov,563,48.7543232,17.3596382
504335,Dojč,1269,48.6839318,17.2557449
504343,Dubovce,614,48.7638327,17.2429141
504351,Gbely,4921,48.7278542,17.0942229
504360,Hlboké,980,48.6439428,17.3842547
504378,Holíč,11214,48.8032903,17.1516671
504386,Hradište pod Vrátnom,672,48.6252603,17.4916382
504394,Chropov,382,48.7901753,17.3520955
504408,Chvojnica (MY),346,48.7983675,17.4035039
504416,Jablonica,2258,48.6005467,17.4333448
504424,Jablonka,470,48.728175,17.6143612
504432,Kátov,624,48.8349385,17.1691145
504459,Kopčany,2555,48.7769281,17.1072815
504467,Košariská,415,48.666959,17.6072846
504475,Koválov,693,48.7094478,17.2820631
504483,Koválovec,144,48.7958723,17.3188391
504491,Kuklov,789,48.6295685,17.0798389
504513,Kúty,4036,48.6562882,17.008497
504521,Lakšárska Nová Ves,1130,48.5763389,17.1659796
504530,Letničie,500,48.7079307,17.18092
504548,Lopašov,332,48.7561829,17.3252401
504556,Malé Leváre,1510,48.504772,16.9560127
504564,Mokrý Háj,729,48.8082326,17.2506881
504572,Moravský Svätý Ján,2150,48.5721556,16.9864744
504581,Myjava,10985,48.7501837,17.535974
504599,Oreské (SI),395,48.7439029,17.3039643
504602,Osuské,609,48.638985,17.4518225
504611,Petrova Ves,1082,48.724344,17.1636738
504629,Plavecké Podhradie,698,48.4810067,17.2736653
504637,Plavecký Mikuláš,740,48.5095061,17.3008556
504645,Plavecký Peter,608,48.5341099,17.3239703
504653,Podbranč,621,48.7316779,17.4552627
504661,Polianka,396,48.7190721,17.5810385
504670,Popudinské Močidľany,963,48.7842966,17.216975
504688,Poriadie,682,48.7790135,17.6089881
504696,Priepasné,354,48.6928353,17.5838844
504700,Prietrž,753,48.6852855,17.4555486
504718,Prietržka,538,48.8065979,17.2078912
504726,Prievaly,985,48.55986,17.346421
504734,Radimov,535,48.7551161,17.2059475
504742,Radošovce (SI),1778,48.7725927,17.2771676
504769,Rohožník (MA),3616,48.4396114,17.1952463
504777,Rovensko,434,48.7172774,17.373437
504793,Rudník (MY),817,48.7573761,17.6268071
504815,Skalica,15573,48.8382008,17.2565834
504823,Smolinské,903,48.6829083,17.1176536
504831,Smrdáky,584,48.7234243,17.3059657
504840,Sobotište,1424,48.7466614,17.4154783
504858,Sološnica,1671,48.4615525,17.2367502
504866,Stará Myjava,762,48.8079964,17.5966982
504874,Studienka,1685,48.5291874,17.1308772
504882,Šajdíkove Humence,1089,48.6520276,17.2891417
504891,Šaštín-Stráže,4979,48.6361456,17.1440087
504904,Štefanov,1638,48.6768453,17.2004382
504912,Trnovec,285,48.7955673,17.1895068
504939,Unín,1206,48.7258795,17.2219069
504947,Veľké Leváre,3719,48.5072991,17.0028456
504963,Vrádište,852,48.8262983,17.1953358
504971,Vrbovce,1450,48.8005352,17.4702464
504980,Závod,2978,48.5452539,17.0512566
504998,Topoľčany,25249,48.5765633,18.1698474
505021,Lipovník (TO),315,48.5743605,18.0090366
505048,Ludanice,1794,48.5048101,18.1118488
505056,Ľutov,174,48.7889042,18.2880465
505064,Lužany,225,48.5176332,18.0105539
505072,Malá Hradná,411,48.7570218,18.1614029
505102,Malé Hoste,409,48.7017721,18.1368093
505129,Malé Kršteňany,527,48.6454564,18.4359559
505137,Malé Ripňany,545,48.4768407,17.9759025
505153,Miezgovce,283,48.716346,18.3209286
505170,Nadlice,594,48.6263155,18.2459645
505196,Nedanovce,612,48.5869664,18.2944809
505200,Nedašovce,435,48.6655577,18.327516
505226,Nemečky,309,48.6785428,18.1115783
505234,Nitrianska Blatnica,1232,48.5618267,17.9686872
505242,Nitrianska Streda,743,48.5103963,18.2018816
505251,Norovce,335,48.6333277,18.1759535
505277,Omastiná,40,48.7857276,18.4060072
505285,Oponice,820,48.4572595,18.1503304
505307,Ostratice,776,48.649059,18.2907826
505315,Partizánske,21439,48.6357181,18.360438
505323,Pažiť,504,48.6241475,18.4505106
505331,Pečeňany,521,48.677227,18.2238054
505340,Podhradie (TO),283,48.673516,18.0297784
505358,Podlužany (BN),934,48.7796307,18.2505869
505374,Prašice,2035,48.6600657,18.0938169
505382,Pravotice,343,48.6786178,18.2930015
505404,Preseľany,1479,48.4526908,18.0865291
505412,Prusy,617,48.7578228,18.2657289
505421,Radošina,1889,48.5547132,17.9276867
505439,Rajčany,535,48.6155691,18.2315846
505447,Ruskovce (BN),519,48.7437717,18.1910406
505455,Rybany,1517,48.669378,18.2599126
505463,Skačany,1337,48.6704669,18.3830194
505471,Slatina nad Bebravou,452,48.836866,18.2712552
505480,Slatinka nad Bebravou,198,48.8640356,18.2586382
505498,Solčany,2553,48.520586,18.2255181
505510,Súlovce,539,48.4641965,18.1797125
505536,Šalgovce,516,48.5320189,17.893871
505544,Šípkov,149,48.8600162,18.2978475
505552,Šišov,510,48.6590393,18.1795375
505561,Tesáre,730,48.6092024,18.0719434
505579,Timoradza,504,48.8127751,18.2460755
505595,Trebichava,41,48.8259362,18.3113579
505617,Tvrdomestice,456,48.6509434,18.1387016
505625,Uhrovec,1529,48.7337754,18.3482252
505633,Uhrovské Podhradie,39,48.7578421,18.405056
505641,Urmince,1402,48.5343017,18.1007376
505676,Veľké Dvorany,748,48.5518338,18.074834
505684,Veľké Hoste,554,48.6812192,18.1582993
505692,Veľké Chlievany,498,48.7054974,18.2147033
505706,Veľké Kršteňany,600,48.6620282,18.4267446
505714,Veľké Ripňany,2104,48.5050898,17.9625385
505722,Veľké Uherce,1990,48.5876878,18.4555133
505731,Veľký Klíž,877,48.5407063,18.3911393
505749,Velušovce,524,48.6223139,18.1036006
505757,Vozokany (TO),351,48.5683975,17.9909662
505765,Vysočany,109,48.6843586,18.3224519
505773,Závada (TO),596,48.635071,18.0705941
505790,Zlatníky,681,48.7252766,18.0640777
505803,Žabokreky nad Nitrou,1738,48.6256678,18.3056051
505811,Žitná-Radiša,448,48.7774759,18.3491817
505820,Trenčín,54740,48.8962613,18.0473111
505838,Adamovské Kochanovce,872,48.8636106,17.9165254
505846,Beckov,1436,48.7861332,17.9092112
505854,Bobot,745,48.8267133,18.2029138
505871,Bošáca,1360,48.8433159,17.8359903
505889,Brunovce,593,48.6789029,17.849926
505897,Bzince pod Javorinou,2051,48.8063704,17.7502245
505901,Čachtice,3703,48.7143168,17.7872117
505919,Častkovce,1639,48.6869602,17.7724493
505935,Dolná Poruba,791,48.9031369,18.2929495
505943,Dolná Súča,3059,48.9651097,18.0202485
505951,Dolné Srnie,992,48.7953301,17.8187014
505960,Drietoma,2233,48.9214757,17.9305426
505978,Dubodiel,971,48.7610995,18.088748
505994,Hôrka nad Váhom,774,48.7124704,17.9411304
506001,Horná Streda,1384,48.6561686,17.848661
506010,Horná Súča,3301,48.9872235,17.9579409
506028,Horňany,429,48.7832046,18.20185
506036,Horné Srnie,2707,49.0162213,18.076612
506044,Hrabovka,427,48.9352187,18.0320061
506052,Hrádok,737,48.6921058,17.9326844
506061,Hrachovište,676,48.7125891,17.723574
