IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Korčok,Pellegrini
527165,Breznička (SP),7,SK,89.0%,0.0%,0.0%,11.0%,527165.0,Pellegrini,0.0,100.0
527173,Brusnica,7,SK,73.1%,0.0%,4.2%,17.5%,527173.0,Korčok,0.0,0.0
527181,Bukovce,7,SK,86.6%,0.0%,1.1%,10.0%,527181.0,Pellegrini,0.0,100.0
527190,Bystrá (SP),7,SK,81.0%,0.0%,0.0%,19.0%,527190.0,Korčok,0.0,0.0
527203,Bžany,7,SK,91.6%,0.0%,1.9%,3.3%,527203.0,Pellegrini,0.0,100.0
527211,Cernina,7,SK,84.5%,0.0%,1.5%,11.5%,527211.0,Pellegrini,0.0,100.0
527220,Cigla - Ціґла,7,SK,70.3%,0.0%,0.0%,23.0%,527220.0,Korčok,0.0,0.0
527238,Dlhoňa,7,XR,39.6%,0.0%,52.7%,4.4%,527238.0,Korčok,0.0,0.0
527246,Dobroslava - Доброслава,7,SK,69.6%,0.0%,0.0%,23.9%,527246.0,Korčok,0.0,0.0
527254,Dubová (SK) - Дубова,7,SK,61.5%,0.5%,5.0%,28.5%,527254.0,Korčok,0.0,0.0
527262,Duplín,7,SK,97.6%,0.0%,0.2%,1.2%,527262.0,Korčok,0.0,0.0
527271,Fijaš,7,SK,87.7%,0.0%,0.0%,11.6%,527271.0,Korčok,0.0,0.0
527289,Gribov,7,SK,82.0%,0.0%,0.0%,13.2%,527289.0,Pellegrini,0.0,100.0
527297,Havaj - Гавай,7,SK,75.3%,0.0%,0.5%,20.7%,527297.0,Pellegrini,0.0,100.0
527301,Havranec,7,SK,80.0%,0.0%,0.0%,13.3%,527301.0,Korčok,0.0,0.0
527319,Hrabovčík,7,SK,84.8%,0.0%,0.0%,11.6%,527319.0,Korčok,0.0,0.0
527327,Hunkovce,7,SK,74.4%,0.0%,4.0%,15.9%,527327.0,Pellegrini,0.0,100.0
527335,Chotča,7,SK,93.2%,0.0%,0.0%,4.0%,527335.0,Korčok,50.0,50.0
527343,Jakušovce - Якушівцї,7,XU,45.0%,0.0%,0.0%,52.5%,527343.0,Korčok,0.0,0.0
527351,Jurkova Voľa - Юркова Воля,7,SK,67.9%,0.0%,0.0%,25.0%,527351.0,Korčok,0.0,0.0
527360,Kapišová,7,SK,77.1%,0.0%,10.9%,8.2%,527360.0,Pellegrini,0.0,100.0
527378,Kečkovce,7,SK,78.0%,0.0%,3.5%,10.6%,527378.0,Pellegrini,0.0,100.0
527386,Kolbovce,7,SK,49.7%,0.0%,30.5%,18.1%,527386.0,Korčok,0.0,0.0
527394,Korejovce,7,SK,84.2%,0.0%,0.0%,14.5%,527394.0,Pellegrini,0.0,100.0
527408,Korunková,7,SK,86.8%,0.0%,0.0%,9.2%,527408.0,Korčok,0.0,0.0
527416,Kožuchovce - Кожухівцї,7,SK,77.1%,2.1%,0.0%,20.8%,527416.0,Korčok,0.0,0.0
527424,Krajná Bystrá,7,SK,82.7%,0.0%,6.5%,6.8%,527424.0,Korčok,0.0,0.0
527432,Krajná Poľana,7,SK,85.4%,0.0%,3.8%,5.7%,527432.0,Korčok,0.0,0.0
527441,Krajná Porúbka - Крайня Порубка,7,XU,45.7%,0.0%,0.0%,54.3%,527441.0,Korčok,0.0,0.0
527459,Krajné Čierno - Крайнє Чорне,7,SK,59.5%,0.0%,0.0%,36.7%,527459.0,Korčok,0.0,0.0
527467,Krišľovce - Кришлівцї,7,SK,68.8%,0.0%,0.0%,31.3%,527467.0,Korčok,0.0,0.0
527475,Krušinec,7,SK,92.0%,0.0%,0.0%,1.3%,527475.0,Korčok,0.0,0.0
527483,Kružlová - Кружлёва,7,SK,58.4%,0.0%,18.3%,21.3%,527483.0,Korčok,0.0,0.0
527491,Kurimka - Куримка,7,SK,67.6%,0.0%,5.2%,22.0%,527491.0,Korčok,0.0,0.0
527505,Ladomirová,7,SK,85.0%,0.1%,5.2%,7.8%,527505.0,Korčok,100.0,0.0
527513,Lomné,7,SK,93.6%,0.0%,0.0%,3.8%,527513.0,Korčok,0.0,0.0
527521,Makovce,7,SK,77.1%,0.0%,0.0%,17.4%,527521.0,Pellegrini,0.0,100.0
527530,Malá Poľana - Мала Поляна,7,SK,56.5%,0.0%,0.0%,40.0%,527530.0,Korčok,0.0,0.0
527548,Matovce,7,SK,93.2%,0.0%,0.0%,6.8%,527548.0,Korčok,0.0,0.0
527556,Medvedie - Медведже,7,SK,52.3%,0.0%,0.0%,40.9%,527556.0,Pellegrini,0.0,100.0
527564,Mestisko,7,SK,96.0%,0.4%,0.0%,2.7%,527564.0,Pellegrini,0.0,100.0
527572,Miková - Микова,7,SK,33.6%,1.4%,19.9%,31.5%,527572.0,Korčok,0.0,0.0
527581,Miňovce,7,SK,97.9%,0.0%,0.0%,0.6%,527581.0,Korčok,0.0,0.0
527599,Miroľa - Мироля,7,SK,62.5%,0.0%,0.0%,35.7%,527599.0,Korčok,100.0,0.0
527602,Mlynárovce,7,SK,84.2%,0.0%,1.9%,11.6%,527602.0,Korčok,0.0,0.0
527611,Mrázovce,7,SK,97.5%,0.0%,0.0%,1.2%,527611.0,Korčok,0.0,0.0
527629,Nižná Jedľová - Нижня Ядлова,7,SK,62.5%,0.0%,0.0%,35.6%,527629.0,Pellegrini,0.0,100.0
527637,Nižná Olšava,7,SK,96.2%,0.0%,0.0%,1.7%,527637.0,Pellegrini,0.0,100.0
527645,Nižná Pisaná,7,SK,73.5%,1.2%,0.0%,16.9%,527645.0,Pellegrini,0.0,100.0
527653,Nižný Komárnik,7,SK,80.3%,0.0%,3.9%,11.2%,527653.0,Korčok,0.0,0.0
527661,Nižný Mirošov,7,SK,78.1%,0.0%,4.4%,13.3%,527661.0,Korčok,0.0,0.0
527670,Nižný Orlík,7,SK,75.7%,0.0%,0.0%,18.0%,527670.0,Pellegrini,0.0,100.0
527688,Nová Polianka,7,SK,93.9%,0.0%,0.0%,3.0%,527688.0,Korčok,0.0,0.0
527696,Okrúhle,7,SK,92.3%,0.0%,0.3%,1.2%,527696.0,Pellegrini,0.0,100.0
527700,Oľšavka (SP),7,SK,80.1%,0.0%,0.0%,15.7%,527700.0,Pellegrini,0.0,100.0
527718,Potôčky,7,SK,87.1%,0.0%,0.0%,12.9%,527718.0,Korčok,0.0,0.0
527726,Potoky,7,SK,88.6%,0.0%,0.0%,5.7%,527726.0,Korčok,0.0,0.0
527734,Príkra,7,SK,100.0%,0.0%,0.0%,0.0%,527734.0,Korčok,0.0,0.0
527742,Pstriná - Пстрина,7,SK,58.9%,0.0%,0.0%,39.3%,527742.0,Korčok,0.0,0.0
527751,Radoma,7,SK,92.7%,0.0%,0.9%,0.2%,527751.0,Pellegrini,0.0,100.0
527769,Rakovčík - Раківчік,7,SK,72.8%,0.0%,0.0%,25.7%,527769.0,Korčok,0.0,0.0
527777,Rovné (SK),7,SK,67.4%,0.0%,10.9%,18.4%,527777.0,Korčok,100.0,0.0
527785,Roztoky,7,SK,46.3%,0.0%,37.4%,14.7%,527785.0,Korčok,100.0,0.0
527793,Kručov,7,SK,85.0%,0.0%,0.0%,12.1%,527793.0,Korčok,0.0,0.0
527807,Soboš,7,SK,88.9%,0.0%,0.0%,9.0%,527807.0,Korčok,0.0,0.0
527815,Soľník,7,SK,88.6%,0.0%,0.0%,11.4%,527815.0,Pellegrini,0.0,100.0
527823,Staškovce,7,SK,74.5%,0.4%,0.4%,18.3%,527823.0,Korčok,0.0,0.0
527831,Stročín,7,SK,85.2%,0.0%,10.2%,2.0%,527831.0,Pellegrini,0.0,100.0
527840,Stropkov,7,SK,84.8%,0.1%,2.7%,2.2%,527840.0,Pellegrini,0.0,100.0
527858,Svidnička,7,SK,82.4%,0.7%,0.7%,14.8%,527858.0,Pellegrini,0.0,100.0
527866,Šandal,7,SK,97.1%,0.0%,0.0%,1.6%,527866.0,Pellegrini,0.0,100.0
527874,Šarbov,7,SK,88.2%,0.0%,0.0%,5.9%,527874.0,Korčok,0.0,0.0
527882,Šarišský Štiavnik,7,SK,82.6%,0.0%,0.0%,12.1%,527882.0,Pellegrini,0.0,100.0
527891,Šemetkovce,7,SK,90.0%,0.0%,0.0%,7.8%,527891.0,Korčok,0.0,0.0
527904,Štefurov,7,SK,91.4%,0.0%,0.0%,6.7%,527904.0,Korčok,0.0,0.0
527912,Tisinec,7,SK,96.7%,0.0%,0.0%,1.5%,527912.0,Korčok,0.0,0.0
527921,Tokajík,7,SK,94.4%,0.0%,0.0%,5.6%,527921.0,Korčok,0.0,0.0
527939,Turany nad Ondavou,7,SK,97.1%,0.0%,0.0%,0.3%,527939.0,Pellegrini,0.0,100.0
527947,Vagrinec - Ваґрінець,7,SK,63.8%,0.0%,0.0%,35.3%,527947.0,Korčok,0.0,0.0
527955,Valkovce,7,SK,89.6%,0.5%,0.0%,7.5%,527955.0,Pellegrini,0.0,100.0
527963,Vápeník - Вапеник,7,SK,67.5%,0.0%,0.0%,20.0%,527963.0,Korčok,0.0,0.0
527971,Varechovce,7,SK,72.5%,0.0%,0.0%,18.8%,527971.0,Korčok,0.0,0.0
527980,Veľkrop,7,SK,83.5%,0.0%,4.8%,6.5%,527980.0,Korčok,0.0,0.0
527998,Vislava,7,SK,93.0%,0.0%,0.0%,4.5%,527998.0,Korčok,0.0,0.0
528005,Vladiča,7,SK,80.0%,0.0%,0.0%,12.3%,528005.0,Korčok,0.0,0.0
528013,Vojtovce,7,SK,78.6%,0.0%,0.0%,15.3%,528013.0,Korčok,0.0,0.0
528021,Vyškovce - Вышківцї,7,SK,68.9%,0.0%,6.8%,22.0%,528021.0,Korčok,100.0,0.0
528030,Vyšná Jedľová - Вышня Ядлова,7,SK,67.7%,0.0%,0.0%,27.0%,528030.0,Korčok,0.0,0.0
528048,Vyšná Olšava,7,SK,89.5%,0.0%,0.9%,2.7%,528048.0,Pellegrini,0.0,100.0
528056,Vyšná Pisaná - Вышня Писана,7,SK,58.5%,0.0%,0.0%,38.5%,528056.0,Korčok,0.0,0.0
528064,Vyšný Komárnik,7,SK,83.8%,0.0%,0.0%,15.0%,528064.0,Korčok,0.0,0.0
528072,Vyšný Mirošov - Вышнїй Мирошів,7,SK,68.2%,0.0%,7.2%,21.6%,528072.0,Pellegrini,0.0,100.0
528081,Vyšný Orlík - Вышнїй Верліх,7,SK,65.7%,0.0%,8.6%,21.3%,528081.0,Pellegrini,0.0,100.0
528099,Trebišov,8,SK,76.8%,0.9%,8.4%,0.2%,528099.0,Pellegrini,16.67,83.33
528102,Bačka - Bacska,8,HU,14.2%,78.0%,0.0%,0.2%,528102.0,Korčok,0.0,0.0
528111,Bačkov,8,SK,95.6%,0.1%,1.1%,0.4%,528111.0,Pellegrini,0.0,100.0
528129,Bara - Bári,8,HU,45.4%,51.8%,0.0%,0.0%,528129.0,Korčok,0.0,0.0
528137,Beša (MI) - Bés,8,HU,17.5%,76.7%,0.8%,0.0%,528137.0,Pellegrini,0.0,100.0
528145,Biel - Bély,8,HU,26.9%,68.0%,1.3%,0.0%,528145.0,Pellegrini,0.0,100.0
528153,Svätá Mária - Bodrogszentmária,8,HU,22.0%,74.8%,0.0%,0.2%,528153.0,Korčok,0.0,0.0
528161,Boľ - Boly,8,HU,23.2%,70.3%,0.3%,0.0%,528161.0,Korčok,0.0,0.0
528170,Borša - Borsi,8,SK,59.9%,37.8%,0.0%,0.0%,528170.0,Pellegrini,25.0,75.0
528188,Boťany - Battyán,8,HU,14.2%,66.3%,9.6%,0.0%,528188.0,Korčok,0.0,0.0
528200,Brehov - Imreg,8,SK,76.7%,20.9%,0.2%,0.0%,528200.0,Pellegrini,0.0,100.0
528218,Brezina,8,SK,96.8%,0.2%,0.8%,0.0%,528218.0,Pellegrini,0.0,100.0
528226,Byšta,8,SK,98.0%,0.0%,0.0%,0.0%,528226.0,Pellegrini,0.0,100.0
528234,Cejkov,8,SK,96.6%,0.6%,0.0%,0.3%,528234.0,Pellegrini,0.0,100.0
528242,Čeľovce,8,SK,89.6%,0.7%,1.6%,0.0%,528242.0,Pellegrini,0.0,100.0
528251,Čerhov,8,SK,89.1%,0.7%,2.4%,0.4%,528251.0,Korčok,0.0,0.0
528269,Černochov - Csarnahó,8,HU,39.4%,59.6%,0.0%,0.0%,528269.0,Korčok,0.0,0.0
528277,Čičarovce - Csicser,8,HU,9.4%,69.8%,18.1%,0.0%,528277.0,Korčok,0.0,0.0
528285,Čierna - Ágcsernyő,8,HU,17.3%,72.1%,2.0%,0.0%,528285.0,Korčok,0.0,0.0
528293,Čierna nad Tisou - Tiszacsernyő,8,HU,37.7%,51.4%,0.3%,0.1%,528293.0,Pellegrini,0.0,100.0
528307,Čierne Pole,8,SK,89.3%,8.3%,0.0%,0.0%,528307.0,Korčok,100.0,0.0
528315,Dargov,8,SK,97.7%,0.0%,0.0%,0.5%,528315.0,Korčok,0.0,0.0
528323,Dobrá - Kisdobra,8,HU,27.9%,66.6%,2.5%,0.2%,528323.0,Pellegrini,0.0,100.0
528331,Drahňov - Deregnyő,8,HU,29.2%,54.9%,10.2%,0.1%,528331.0,Korčok,0.0,0.0
528340,Dvorianky,8,SK,97.2%,0.2%,0.0%,0.2%,528340.0,Korčok,100.0,0.0
528358,Egreš,8,SK,94.8%,0.0%,0.2%,0.0%,528358.0,Korčok,0.0,0.0
528366,Hraň,8,SK,91.0%,0.8%,1.0%,0.0%,528366.0,Korčok,100.0,0.0
528374,Hrčeľ,8,SK,91.7%,0.0%,1.5%,0.0%,528374.0,Korčok,0.0,0.0
528382,Hriadky,8,SK,98.1%,0.0%,0.0%,0.0%,528382.0,Korčok,0.0,0.0
528391,Ižkovce - Iske,8,HU,23.1%,71.4%,0.0%,0.0%,528391.0,Korčok,0.0,0.0
528404,Kapušianske Kľačany - Kaposkelecsény,8,HU,9.4%,77.8%,5.8%,0.1%,528404.0,Korčok,0.0,0.0
528412,Kašov,8,SK,97.0%,0.3%,0.0%,0.0%,528412.0,Korčok,0.0,0.0
528421,Kazimír,8,SK,96.3%,0.2%,0.0%,0.0%,528421.0,Pellegrini,0.0,100.0
528439,Kožuchov,8,SK,96.2%,0.0%,0.0%,0.0%,528439.0,Korčok,0.0,0.0
528447,Kráľovský Chlmec - Királyhelmec,8,HU,23.6%,72.1%,1.3%,0.1%,528447.0,Pellegrini,33.33,66.67
528455,Kravany (TV),8,SK,96.2%,0.0%,0.0%,0.0%,528455.0,Korčok,50.0,50.0
528463,Krišovská Liesková - Mokcsamogyorós,8,HU,18.1%,78.9%,0.3%,0.1%,528463.0,Korčok,100.0,0.0
528471,Kuzmice (TV),8,SK,92.8%,0.4%,0.6%,0.0%,528471.0,Korčok,66.67,33.33
528480,Kysta,8,SK,94.6%,0.5%,3.1%,0.0%,528480.0,Korčok,0.0,0.0
528498,Ladmovce - Ladamóc,8,HU,25.4%,70.7%,0.3%,0.3%,528498.0,Pellegrini,33.33,66.67
528501,Lastovce,8,SK,93.4%,0.2%,1.8%,0.1%,528501.0,Korčok,66.67,33.33
528510,Leles - Lelesz,8,HU,19.9%,75.5%,0.7%,0.0%,528510.0,Korčok,0.0,0.0
528528,Luhyňa,8,SK,94.8%,0.6%,0.0%,0.0%,528528.0,Korčok,0.0,0.0
528536,Malé Ozorovce,8,SK,98.5%,0.4%,0.0%,0.0%,528536.0,Korčok,0.0,0.0
528544,Malé Trakany - Kistárkány,8,HU,13.1%,80.4%,0.4%,0.2%,528544.0,Pellegrini,33.33,66.67
528552,Malý Horeš - Kisgéres,8,HU,6.9%,90.6%,0.0%,0.1%,528552.0,Pellegrini,0.0,100.0
528561,Malý Kamenec - Kiskövesd,8,HU,9.6%,84.2%,0.0%,0.0%,528561.0,Korčok,0.0,0.0
528579,Maťovské Vojkovce - Mátyócvajkóc,8,HU,17.2%,73.3%,1.4%,0.0%,528579.0,Korčok,100.0,0.0
528587,Michaľany,8,SK,89.7%,1.1%,2.9%,0.0%,528587.0,Pellegrini,25.0,75.0
528609,Nižný Žipov,8,SK,92.0%,0.3%,1.9%,0.0%,528609.0,Pellegrini,0.0,100.0
528617,Novosad,8,SK,95.7%,0.4%,1.1%,0.5%,528617.0,Pellegrini,0.0,100.0
528625,Nový Ruskov,8,SK,96.6%,0.1%,0.1%,0.3%,528625.0,Pellegrini,0.0,100.0
528633,Oborín - Abara,8,HU,37.6%,54.2%,1.9%,0.0%,528633.0,Korčok,0.0,0.0
528641,Plechotice,8,SK,95.9%,0.1%,0.9%,0.1%,528641.0,Pellegrini,0.0,100.0
528650,Svätuše - Bodrogszentes,8,HU,11.6%,86.1%,0.0%,0.0%,528650.0,Korčok,0.0,0.0
528668,Poľany - Bodrogmező,8,HU,20.8%,74.1%,3.2%,0.2%,528668.0,Korčok,0.0,0.0
528676,Parchovany,8,SK,79.2%,0.1%,14.7%,0.1%,528676.0,Pellegrini,9.09,90.91
528684,Pribeník - Perbenyik,8,HU,23.3%,72.6%,0.0%,0.1%,528684.0,Korčok,100.0,0.0
528692,Ptrukša - Szirénfalva,8,HU,8.5%,89.2%,0.0%,0.0%,528692.0,Korčok,0.0,0.0
528706,Rad - Rad,8,HU,26.3%,65.7%,1.8%,1.6%,528706.0,Korčok,0.0,0.0
528714,Ruská - Dobóruszka,8,HU,11.8%,66.7%,18.7%,0.0%,528714.0,Korčok,0.0,0.0
528722,Sečovce,8,SK,87.3%,0.1%,6.7%,0.2%,528722.0,Pellegrini,15.38,84.62
528731,Holčíkovce,7,SK,98.3%,0.0%,0.0%,0.0%,528731.0,Pellegrini,40.0,60.0
528749,Jasenovce,7,SK,91.1%,0.0%,0.0%,0.0%,528749.0,Korčok,0.0,0.0
528757,Jastrabie nad Topľou,7,SK,72.1%,0.0%,24.0%,0.2%,528757.0,Pellegrini,0.0,100.0
528765,Juskova Voľa,7,SK,98.0%,0.0%,0.0%,0.3%,528765.0,Pellegrini,0.0,100.0
528773,Kamenná Poruba (VT),7,SK,92.9%,0.0%,0.7%,0.1%,528773.0,Korčok,0.0,0.0
528781,Kladzany,7,SK,96.6%,0.2%,0.0%,0.2%,528781.0,Korčok,0.0,0.0
528790,Komárany,7,SK,98.8%,0.0%,0.8%,0.0%,528790.0,Pellegrini,0.0,100.0
528803,Košarovce,7,SK,98.9%,0.0%,0.0%,0.2%,528803.0,Korčok,50.0,50.0
528811,Kučín (VT),7,SK,92.1%,0.4%,3.8%,0.4%,528811.0,Korčok,0.0,0.0
528820,Kvakovce,7,SK,92.7%,0.0%,0.0%,0.2%,528820.0,Pellegrini,0.0,100.0
528838,Majerovce,7,SK,98.0%,0.0%,0.0%,0.7%,528838.0,Pellegrini,0.0,100.0
528846,Malá Domaša,7,SK,96.7%,0.0%,1.6%,0.2%,528846.0,Korčok,0.0,0.0
528854,Matiaška,7,SK,98.3%,0.0%,0.0%,1.0%,528854.0,Pellegrini,25.0,75.0
528862,Medzianky,7,SK,96.7%,0.0%,0.0%,0.0%,528862.0,Pellegrini,0.0,100.0
528871,Merník,7,SK,97.7%,0.0%,0.0%,0.0%,528871.0,Korčok,100.0,0.0
528889,Michalok,7,SK,97.1%,0.0%,0.0%,0.0%,528889.0,Korčok,0.0,0.0
528897,Nižná Sitnica,7,SK,97.7%,0.3%,0.0%,0.0%,528897.0,Pellegrini,0.0,100.0
528901,Nižný Hrabovec,7,SK,88.3%,0.1%,1.9%,0.2%,528901.0,Pellegrini,20.0,80.0
528919,Nižný Hrušov,7,SK,94.6%,0.1%,0.2%,0.1%,528919.0,Pellegrini,0.0,100.0
528927,Nižný Kručov,7,SK,96.1%,0.0%,0.0%,1.3%,528927.0,Pellegrini,0.0,100.0
528935,Nová Kelča,7,SK,97.6%,0.0%,0.0%,0.6%,528935.0,Korčok,0.0,0.0
528943,Ondavské Matiašovce,7,SK,93.4%,0.1%,2.2%,0.0%,528943.0,Pellegrini,25.0,75.0
528951,Pakostov,7,SK,94.4%,0.0%,0.0%,2.1%,528951.0,Pellegrini,0.0,100.0
528960,Pavlovce (VT),7,SK,94.6%,0.1%,1.6%,0.0%,528960.0,Pellegrini,0.0,100.0
528978,Petkovce,7,SK,99.3%,0.0%,0.0%,0.0%,528978.0,Pellegrini,0.0,100.0
528986,Petrovce (VT),7,SK,100.0%,0.0%,0.0%,0.0%,528986.0,Korčok,0.0,0.0
528994,Piskorovce,7,SK,87.2%,0.0%,0.0%,10.3%,528994.0,Korčok,0.0,0.0
529001,Poša,7,SK,58.4%,0.0%,38.4%,0.0%,529001.0,Korčok,0.0,0.0
529010,Prituľany - Притуляны,7,XU,46.3%,0.0%,0.0%,51.2%,529010.0,Korčok,0.0,0.0
529028,Prosačov,7,SK,92.9%,0.0%,5.2%,0.0%,529028.0,Korčok,0.0,0.0
529036,Radvanovce,7,SK,95.4%,0.5%,0.0%,0.0%,529036.0,Korčok,0.0,0.0
529044,Rafajovce,7,SK,93.3%,1.2%,0.6%,0.6%,529044.0,Korčok,0.0,0.0
529052,Remeniny,7,SK,99.3%,0.0%,0.0%,0.0%,529052.0,Korčok,50.0,50.0
529061,Rohožník (HE) - Рогожник,7,SK,63.6%,0.0%,0.0%,34.1%,529061.0,Korčok,0.0,0.0
529079,Rudlov,7,SK,89.4%,0.0%,8.2%,0.0%,529079.0,Pellegrini,0.0,100.0
529087,Ruská Kajňa,7,SK,82.4%,0.0%,0.9%,12.0%,529087.0,Korčok,0.0,0.0
529095,Ruská Poruba - Руська Поруба,7,SK,50.0%,0.0%,0.0%,48.1%,529095.0,Pellegrini,0.0,100.0
529109,Ruská Voľa,7,SK,93.0%,0.0%,0.0%,5.8%,529109.0,Korčok,0.0,0.0
529117,Vyšný Kazimír,7,SK,98.4%,0.0%,0.0%,0.0%,529117.0,Korčok,0.0,0.0
529125,Sačurov,7,SK,60.5%,0.0%,32.9%,0.0%,529125.0,Pellegrini,16.67,83.33
529133,Sečovská Polianka,7,SK,96.4%,0.2%,1.0%,0.0%,529133.0,Pellegrini,20.0,80.0
529141,Sedliská,7,SK,97.2%,0.0%,0.7%,0.1%,529141.0,Pellegrini,0.0,100.0
529150,Skrabské,7,SK,96.5%,0.0%,2.1%,0.3%,529150.0,Korčok,0.0,0.0
529168,Slovenská Kajňa,7,SK,93.4%,0.0%,0.0%,0.3%,529168.0,Pellegrini,0.0,100.0
529176,Soľ,7,SK,82.6%,0.0%,13.7%,0.0%,529176.0,Pellegrini,0.0,100.0
529184,Štefanovce (VT),7,SK,96.3%,0.0%,0.0%,0.0%,529184.0,Pellegrini,0.0,100.0
529192,Tovarné,7,SK,98.0%,0.1%,0.0%,0.5%,529192.0,Pellegrini,0.0,100.0
529206,Tovarnianska Polianka,7,SK,98.2%,0.0%,0.0%,0.0%,529206.0,Korčok,0.0,0.0
529214,Vavrinec,7,SK,94.5%,0.0%,0.0%,1.8%,529214.0,Korčok,0.0,0.0
529222,Vechec,7,SK,53.6%,0.1%,44.1%,0.0%,529222.0,Pellegrini,0.0,100.0
529231,Vlača,7,SK,97.3%,0.0%,0.0%,0.4%,529231.0,Pellegrini,20.0,80.0
529249,Vyšná Sitnica,7,SK,98.8%,0.3%,0.0%,0.6%,529249.0,Pellegrini,0.0,100.0
529257,Vyšný Žipov,7,SK,95.8%,0.0%,2.2%,0.1%,529257.0,Pellegrini,33.33,66.67
529265,Zámutov,7,SK,63.2%,0.0%,35.5%,0.1%,529265.0,Pellegrini,25.0,75.0
529273,Závada (HE) - Завада,7,XU,32.3%,0.0%,0.0%,66.2%,529273.0,Korčok,0.0,0.0
529281,Zlatník,7,SK,100.0%,0.0%,0.0%,0.0%,529281.0,Korčok,0.0,0.0
529290,Žalobín,7,SK,96.5%,0.0%,2.9%,0.1%,529290.0,Korčok,0.0,0.0
542652,Bánovce nad Bebravou,3,SK,91.4%,0.1%,0.2%,0.1%,542652.0,Pellegrini,17.78,82.22
542661,Belince,4,SK,96.4%,0.5%,0.0%,0.0%,542661.0,Korčok,0.0,0.0
542695,Biskupová,4,SK,93.0%,0.0%,0.0%,0.0%,542695.0,Korčok,100.0,0.0
542709,Blesovce,4,SK,96.0%,0.6%,0.0%,0.0%,542709.0,Korčok,100.0,0.0
542717,Bojná,4,SK,94.8%,0.2%,0.0%,0.1%,542717.0,Pellegrini,0.0,100.0
542733,Bošany,3,SK,96.1%,0.2%,0.0%,0.0%,542733.0,Pellegrini,12.5,87.5
542741,Brezolupy,3,SK,96.6%,0.2%,0.0%,0.0%,542741.0,Korčok,0.0,0.0
542776,Cimenná,3,SK,98.0%,0.0%,0.0%,0.0%,542776.0,Korčok,0.0,0.0
542792,Čermany,4,SK,97.3%,0.3%,0.3%,0.0%,542792.0,Korčok,100.0,0.0
542806,Čierna Lehota (BN),3,SK,98.2%,0.0%,0.0%,0.0%,542806.0,Korčok,0.0,0.0
542822,Dežerice,3,SK,96.3%,0.0%,0.1%,0.0%,542822.0,Pellegrini,0.0,100.0
542849,Dolné Naštice,3,SK,93.9%,0.2%,0.0%,0.0%,542849.0,Pellegrini,0.0,100.0
542857,Dubnička,3,SK,97.6%,0.0%,0.0%,0.0%,542857.0,Korčok,100.0,0.0
542873,Dvorec,3,SK,96.6%,0.0%,0.0%,0.0%,542873.0,Korčok,0.0,0.0
542881,Hajná Nová Ves,4,SK,96.5%,0.3%,0.0%,0.0%,542881.0,Korčok,0.0,0.0
542890,Haláčovce,3,SK,96.5%,0.0%,0.0%,0.0%,542890.0,Pellegrini,0.0,100.0
542920,Horné Naštice,3,SK,98.4%,0.0%,0.0%,0.0%,542920.0,Korčok,100.0,0.0
542938,Horné Obdokovce,4,SK,95.9%,0.2%,0.1%,0.0%,542938.0,Pellegrini,0.0,100.0
542954,Horné Štitáre,4,SK,95.1%,0.0%,0.2%,0.0%,542954.0,Pellegrini,25.0,75.0
542962,Hradište (PE),3,SK,96.7%,0.0%,0.0%,0.0%,542962.0,Korčok,0.0,0.0
542971,Hrušovany,4,SK,96.6%,0.4%,0.0%,0.0%,542971.0,Pellegrini,0.0,100.0
543004,Chynorany,3,SK,96.7%,0.1%,0.1%,0.0%,543004.0,Pellegrini,15.79,84.21
543039,Kamanová,4,SK,97.7%,0.3%,0.0%,0.0%,543039.0,Pellegrini,0.0,100.0
543047,Klátova Nová Ves,3,SK,97.8%,0.1%,0.1%,0.1%,543047.0,Pellegrini,0.0,100.0
543055,Kolačno,3,SK,99.2%,0.1%,0.0%,0.0%,543055.0,Pellegrini,0.0,100.0
543063,Koniarovce,4,SK,97.4%,0.2%,0.2%,0.0%,543063.0,Pellegrini,16.67,83.33
543071,Kovarce,4,SK,94.7%,0.1%,0.0%,0.1%,543071.0,Pellegrini,0.0,100.0
543080,Krásna Ves,3,SK,98.6%,0.2%,0.0%,0.0%,543080.0,Korčok,100.0,0.0
543101,Krnča,4,SK,97.9%,0.2%,0.1%,0.0%,543101.0,Pellegrini,0.0,100.0
543110,Krtovce,4,SK,94.5%,0.0%,0.0%,0.0%,543110.0,Pellegrini,0.0,100.0
543136,Kšinná,3,SK,98.8%,0.0%,0.0%,0.0%,543136.0,Korčok,0.0,0.0
543144,Hrišovce,8,SK,98.6%,0.0%,0.0%,0.0%,543144.0,Korčok,0.0,0.0
543152,Chrasť nad Hornádom,8,SK,90.7%,0.0%,1.3%,0.1%,543152.0,Pellegrini,0.0,100.0
543161,Iliašovce,8,SK,91.9%,0.0%,2.8%,0.1%,543161.0,Pellegrini,0.0,100.0
543179,Jablonov,7,SK,81.2%,0.1%,5.2%,0.0%,543179.0,Pellegrini,0.0,100.0
543187,Jaklovce,8,SK,94.7%,0.1%,0.4%,0.0%,543187.0,Korčok,66.67,33.33
543195,Jamník (SN),8,SK,99.3%,0.0%,0.0%,0.0%,543195.0,Pellegrini,0.0,100.0
