IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
501549,Dobrohošť - Doborgaz,517,47.986708,17.3618509,501549,0,1,32,24,118,1,6,6,0,53,0,241,452,53.32
501557,Dolný Bar - Albár,819,47.9657611,17.7029015,501557,1,1,72,24,73,0,2,10,0,74,1,258,807,31.97
501573,Gabčíkovo - Bős,5232,47.8755834,17.5824056,501573,3,6,644,60,281,1,5,40,0,319,0,1359,4296,31.63
501581,Holice - Egyházgelle,2144,47.9896172,17.4776484,501581,2,0,380,51,142,3,7,17,0,108,0,710,1754,40.48
501590,Horná Potôň - Felsőpatony,2114,48.0586086,17.529611,501590,0,1,245,47,222,3,6,14,0,196,0,734,1843,39.83
501603,Horný Bar - Felbár,1244,47.9459343,17.46176,501603,0,4,127,32,137,1,5,4,0,135,0,445,1098,40.53
501611,Dolný Štál - Alistál,1908,47.9348569,17.7373169,501611,0,0,218,19,60,0,0,10,0,91,0,398,1622,24.54
501620,Hubice - Nemesgomba,626,48.0957629,17.3981366,501620,0,1,70,14,111,1,9,8,0,61,1,276,528,52.27
501638,Hviezdoslavov,2472,48.0713267,17.3556563,501638,0,20,9,157,1072,2,33,19,5,325,1,1643,2681,61.28
501654,Jahodná - Pozsonyeperjes,1654,48.0467292,17.7189146,501654,0,3,226,30,97,1,4,17,0,48,0,426,1408,30.26
501662,Janíky - Jányok,915,48.1436946,17.4027415,501662,0,1,164,30,159,4,3,13,1,72,0,447,766,58.36
501671,Jurová - Dercsika,480,47.935046,17.5274187,501671,0,0,81,10,24,0,2,2,0,24,0,143,413,34.62
501689,Kľúčovec - Kulcsod,362,47.7871753,17.7097084,501689,1,0,81,5,6,0,1,6,0,10,0,110,292,37.67
501697,Kostolné Kračany - Egyházkarcsa,1419,47.9696754,17.5750086,501697,0,2,164,26,78,1,1,13,0,120,0,405,1209,33.5
501701,Kráľovičove Kračany - Királyfiakarcsa,1093,47.9798488,17.5478317,501701,0,2,127,24,75,0,2,4,0,64,0,298,929,32.08
501719,Kútniky - Hegyéte,1466,47.9770338,17.6669565,501719,1,9,143,40,122,1,2,7,0,100,0,425,1211,35.09
501727,Kvetoslavov,1744,48.051478,17.3385232,501727,1,9,31,58,679,2,21,12,3,178,1,995,1572,63.3
501735,Lehnice - Lég,2965,48.0559811,17.4606648,501735,1,4,159,105,436,4,18,36,2,311,1,1077,2566,41.97
501743,Lúč na Ostrove - Lúcs,711,47.9652393,17.5120216,501743,1,1,105,11,38,1,1,7,1,52,0,218,631,34.55
501760,Medveďov - Medve,532,47.7981282,17.6727199,501760,0,1,64,5,21,0,0,1,0,37,0,129,469,27.51
501778,Mierovo - Béke,444,48.0650681,17.3915571,501778,0,0,61,17,60,0,3,5,0,44,0,190,376,50.53
501786,Michal na Ostrove - Szentmihályfa,1031,48.0434571,17.5420091,501786,0,3,99,41,101,1,3,9,0,94,0,351,914,38.4
501808,Nový Život - Illésháza,2306,48.1141019,17.4827096,501808,0,2,254,61,218,1,3,31,0,144,1,715,1840,38.86
501816,Ohrady - Csallóközkürt,1359,48.0029355,17.7064239,501816,0,2,191,27,52,2,1,5,0,60,0,340,1138,29.88
501824,Okoč - Ekecs,3704,47.9125061,17.8197288,501824,0,2,574,21,82,0,1,15,1,134,0,830,3122,26.59
501832,Oľdza - Olgya,559,48.0826234,17.4226667,501832,0,3,35,26,140,1,6,2,0,59,0,272,484,56.2
501859,Orechová Potôň - Diósförgepatony,1705,48.0835374,17.6655532,501859,1,2,186,23,158,1,2,17,0,78,1,469,1421,33
501867,Padáň - Padány,912,47.9166057,17.6715416,501867,0,2,89,12,31,0,1,5,0,49,0,189,742,25.47
